discount_price,name,original_price,stock
47490.0,"itel P17 Pro 5.5 IPS Screen, 2GB RAM + 32GB ROM, 4G, 4000mAh Battery, Android 11, Fingerprint &amp; Face ID - Blue + Free Case",60000.0,Add to cart
225000.0,"Tecno Camon 17 Pro - 6.8 (8GB RAM, 256GB ROM) Android 11 - 64MP Quad Rear + 48MP Selfie - 5000mAh - 4G LTE - Ice Silver",250000.0,Add to cart
59000.0,"Samsung Galaxy A03 Core - 6.5 (2GB RAM, 32GB ROM) Android 11 - 8MP Rear + 5MP Selfie - 5000mAh - Dual Sim - 4G LTE - Mint",70000.0,Add to cart
155000.0,"Infinix Note 12 - 6.7 FHD+ (4+3GB RAM, 128GB ROM) Android 11 (50/2/QVGA)MP + 16MP Selfie - 5000mAh - Dual - 4G LTE -Sunset Gold",170000.0,Add to cart
130000.0,"Samsung Galaxy Note 8 (6GB,64GB ROM) - Black",148000.0,Add to cart
45450.0,"itel P17 Pro 3G, 5.5 Screen, 2GB RAM + 32GB ROM, 4000mAh Battery, Android 11, 5MP, Fingerprint &amp; Face ID - Blue + Free Case",50000.0,Add to cart
620999.0,Dji Mini 2 Fly More Combo Drone Camera,700000.0,Add to cart
37900.0,"itel A33 Plus,Android 11, 5.0inch5.0MP,32G BROM1GB RAM3020mAhBlue",46000.0,Add to cart
179000.0,Samsung GALAXY TAB A8 -32GB ROM/3GB RAM-8MP/5MP-SILVER,400000.0,Add to cart
102000.0,"Samsung Galaxy A03s, 6.5-Inch (3GB RAM, 32GB ROM) Android 11, (13MP + 2MP + 2MP) + 5MP 4G, Dual SIM - Black",130000.0,Add to cart
175000.0,Tecno Camon 19 (CI6) 6GB RAM+128GB ROM 4G - Black,193000.0,Add to cart
269000.0,Samsung Galaxy S20 5G  (12GB RAM/128GB ROM) (12MP + 64MP + 12MP + 0.3MP)+(10MP) Single SIM - Cosmic Black,287000.0,Add to cart
200000.0,Nikon D5100 DSLR Camera With 18-55MM Lens,218000.0,Add to cart
